Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
mm.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x60;0,645715812;1,548668906;3;78;2000
mm.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x60;0,729939614;1,36997634;18;69;2000
mm.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x60;0,751728856;1,330266881;20;67;2000
mm.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x60;0,751728856;1,330266881;20;67;2000
mm.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x60;0,763118687;1,310412151;20;66;2000
mm.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x60;0,74067402;1,35012161;20;68;2000
mm.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x60;0,74067402;1,35012161;20;68;2000
mm.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x60;0,853658192;1,171429044;105;59;2000
mm.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x60;0,853658192;1,171429044;131;59;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x60;0,868376437;1,151574315;31;58;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;None;60x60;0,751728856;1,330266881;28;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;None;60x60;0,709377934;1,409685799;26;71;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,751728856;1,330266881;28;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;None;60x60;0,853658192;1,171429044;33;59;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,868376437;1,151574315;31;58;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;None;60x60;0,751728856;1,330266881;39;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;None;60x60;0,423242297;2,362712818;38;119;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;None;60x60;0,286169508;3,494432403;48;176;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,286169508;3,494432403;48;176;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;None;60x60;0,774858974;1,290557422;39;65;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,774858974;1,290557422;40;65;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;None;60x60;0,883611111;1,131719585;29;57;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;None;60x60;0,774858974;1,290557422;25;65;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;None;60x60;0,751728856;1,330266881;23;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,763118687;1,310412151;25;66;2000
