Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;None;60x60;0,865235339506172;1,15575491931564;707;288;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,880522182960346;1,13568972974419;678;283;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MinAreaSplitRule;None;60x60;0,788568917018284;1,26811998091578;824;316;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MaxAreaSplitRule;None;60x60;0,513789232531501;1,94632338843086;790;485;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerAxisSplitRule;None;60x60;0,385143396874463;2,59643553054591;943;647;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,544078117418728;1,83797136474502;827;458;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterAxisSplitRule;None;60x60;0,776285912080305;1,28818517048723;887;321;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,788568917018284;1,26811998091578;860;316;10000
10k.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x90;0,651471314451707;1,53498700221609;19;255;10000
10k.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x90;0,731829009626367;1,36643940981589;363;227;10000
10k.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x90;0,741630291005291;1,34838073920158;462;224;10000
10k.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x90;0,741630291005291;1,34838073920158;461;224;10000
10k.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x90;0,744955987377512;1,34236118233015;461;223;10000
10k.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x90;0,728619233268356;1,37245896668733;463;228;10000
10k.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x90;0,728619233268357;1,37245896668733;465;228;10000
10k.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x90;0,851924026590694;1,17381358992995;1810;195;10000
10k.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x90;0,856315387552501;1,16779403305851;2050;194;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x90;0,883644602048858;1,1316766918299;615;188;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;None;60x90;0,748311644978311;1,33634162545871;581;222;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;None;60x90;0,7516976705212;1,33032206858728;556;221;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;None;60x90;0,7516976705212;1,33032206858728;559;221;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;None;60x90;0,860752254845519;1,16177447618708;667;193;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;None;60x90;0,865235339506173;1,15575491931564;639;192;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;None;60x90;0,765553848779655;1,30624384110153;750;217;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;None;60x90;0,275497819544254;3,62979279347569;1047;603;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;None;60x90;0,23169481894726;4,31602227681936;1159;717;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;None;60x90;0,23169481894726;4,31602227681936;1158;717;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;None;60x90;0,783609364081062;1,27614605674436;823;212;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;None;60x90;0,779930446878803;1,28216561361579;780;213;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;None;60x90;0,893146156909598;1,11963757808703;548;186;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;None;60x90;0,776285912080305;1,28818517048723;506;214;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;None;60x90;0,772675279931094;1,29420472735866;500;215;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;None;60x90;0,772675279931094;1,29420472735866;507;215;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;None;60x90;0,865235339506173;1,15575491931564;642;192;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;None;60x90;0,874343079922028;1,14371580557277;605;190;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MinAreaSplitRule;None;60x90;0,389965223439402;2,56433122723158;1856;426;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MaxAreaSplitRule;None;60x90;0,14766683127572;6,7720014803651;2436;1125;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;None;60x90;0,135945323392132;7,35589849689435;2541;1222;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;None;60x90;0,135945323392132;7,35589849689435;2541;1222;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;None;60x90;0,494420194003528;2,02257110880238;1595;336;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;None;60x90;0,4627442484267;2,1610209168454;1650;359;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MinAreaSplitRule;None;60x90;0,883644602048857;1,1316766918299;624;188;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MaxAreaSplitRule;None;60x90;0,735067191084891;1,36041985294446;584;226;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;None;60x90;0,73506719108489;1,36041985294446;589;226;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;None;60x90;0,73506719108489;1,36041985294446;584;226;10000
