Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
1k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;None;60x60;0,854329501915709;1,17050856579065;10;29;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,854329501915709;1,17050856579065;9;29;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MinAreaSplitRule;None;60x60;0,774236111111111;1,29159565880348;11;32;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MaxAreaSplitRule;None;60x60;0,516157407407407;1,93739348820522;11;48;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerAxisSplitRule;None;60x60;0,359066022544283;2,785003139295;13;69;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,359066022544283;2,785003139295;12;69;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterAxisSplitRule;None;60x60;0,750774410774411;1,33195802314109;12;33;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,774236111111111;1,29159565880348;11;32;1000
3k.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x60;0,631010737628385;1,58475908628503;3;119;3000
3k.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x60;0,722021901709402;1,38499953759364;38;104;3000
3k.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x60;0,743468096809681;1,34504762785536;42;101;3000
3k.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x60;0,736179193899782;1,35836493110145;41;102;3000
3k.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x60;0,743468096809681;1,34504762785536;42;101;3000
3k.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x60;0,736179193899782;1,35836493110145;42;102;3000
3k.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x60;0,736179193899782;1,35836493110145;41;102;3000
3k.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x60;0,853298611111111;1,17192268565615;220;88;3000
3k.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x60;0,853298611111111;1,17192268565615;295;88;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x60;0,873142764857881;1,14528807916397;62;86;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;None;60x60;0,736179193899782;1,35836493110145;51;102;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;None;60x60;0,729031823085221;1,37168223434754;51;103;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,736179193899782;1,35836493110145;52;102;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;None;60x60;0,863106641123882;1,15860538241006;68;87;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,873142764857881;1,14528807916397;63;86;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;None;60x60;0,766227324263039;1,30509571811708;78;98;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;None;60x60;0,452351070950469;2,21067233885138;82;166;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;None;60x60;0,292180069174233;3,42254693424582;113;257;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,361010950854701;2,76999907518727;88;208;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;None;60x60;0,766227324263038;1,30509571811708;86;98;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,782190393518518;1,2784611116249;80;96;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;None;60x60;0,883415032679739;1,13197077591788;57;85;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;None;60x60;0,758487654320987;1,31841302136317;51;99;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;None;60x60;0,743468096809681;1,34504762785536;47;101;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,766227324263039;1,30509571811708;54;98;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;None;60x60;0,863106641123883;1,15860538241006;65;87;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,873142764857881;1,14528807916397;61;86;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MinAreaSplitRule;None;60x60;0,449642381902861;2,22398964209748;180;167;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MaxAreaSplitRule;None;60x60;0,266277580772262;3,75547951539813;190;282;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;None;60x60;0,198127381999414;5,04725793026912;222;379;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,237627461322082;4,20826782576528;195;316;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;None;60x60;0,560375207296849;1,78451863497642;153;134;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,490786129266522;2,03754739665218;169;153;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MinAreaSplitRule;None;60x60;0,873142764857881;1,14528807916397;61;86;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MaxAreaSplitRule;None;60x60;0,722021901709402;1,38499953759364;56;104;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;None;60x60;0,695280349794239;1,43826875057801;54;108;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,715145502645502;1,39831684083973;55;105;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;None;60x60;0,863106641123882;1,15860538241006;69;87;3000
3k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,873142764857881;1,14528807916397;67;86;3000
3k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MinAreaSplitRule;None;60x60;0,774126575028637;1,29177841487099;78;97;3000
